paper_01,"Tshabalala, L.A.","Impact of Renewable Energy Adoption, Market Liberalization, and Policy Interventions on Energy Economics and Energy Poverty in South Africa",2024,"Social Science Chronicle","Energy Access / Affordability","Policy & Governance"
paper_02,"Yeni, M. et al.","Analysis the Impact of Renewable Energy on Work Needs Mediating the Welfare of Fishermen in Aceh Besar",2024,"Formosa Journal of Multidisciplinary Research","Socio-Economic Impacts",
paper_03,"Moore, C.","Renewable Energy Adoption and Its Effect on Rural Development in United States",2024,"Journal of Developing Country Studies","Socio-Economic Impacts","Indigenous / Rural Communities"
paper_04,"López, I. et al.","Social perception of renewable energies: barriers and opportunities for an inclusive energy transition",2026,"Energy Policy","Social Perception / Narratives",
paper_05,"Nelson, T., Dodd, T.","Contracts-for-Difference: An assessment of social equity considerations in the renewable energy transition",2023,"Energy Policy","Policy & Governance","Energy Justice / Equity"
paper_06,"Lindvall, D. et al.","The polarization of energy preferences - A study on Social Perception / Narratives of wind and nuclear power in Sweden",2025,"Energy Policy","Social Perception / Narratives",
paper_07,"Karakislak, I., Schneider, N.","The mayor said so? The impact of local political figures and social norms on local responses to wind energy projects",2023,"Energy Policy","Social Perception / Narratives",
paper_08,"Taromboli, G. et al.","Impact of different regulatory approaches in renewable energy communities: A quantitative comparison of european implementations",2024,"Energy Policy","Policy & Governance",
paper_09,"Emmerling, J. et al.","Green jobs and just transition: Employment implications of Europe’s Net Zero pathway",2025,"Energy Research & Social Science","Employment & Labour Market","Policy & Governance"
paper_10,"van der Waal, E.C.","Local impact of community renewable energy: A case study of an Orcadian community-led wind scheme",2020,"Energy Policy","Socio-Economic Impacts",
paper_11,"Abid, N. et al.","A blessing or a burden? Assessing the impact of Climate Change Mitigation efforts in Europe using Quantile Regression Models",2023,"Energy Policy","Socio-Economic Impacts",
paper_12,"Virah-Sawmy, D., Sturmberg, B.","Socio-economic and environmental impacts of renewable energy deployments: A review",2025,"Renewable and Sustainable Energy Reviews","Socio-Economic Impacts",
paper_13,"Jaradat, A. et al.","Youth engagement in community renewable energy in northern and Indigenous communities: Lessons from Peter Ballantyne Cree Nation and Frog Lake First Nation, Canada",2025,"Energy Research & Social Science","Community Engagement","Indigenous / Rural Communities"
paper_14,"Jaradat, A. et al.","Youth as energy citizens or passive actors? A critical review of energy transition scholarship",2024,"Energy Research & Social Science","Community Engagement","Social Perception / Narratives"
paper_15,"Campos, I. et al.","Just participation in wind energy: The role of social innovations",2025,"Renewable and Sustainable Energy Reviews","Community Engagement","Energy Justice / Equity"
paper_16,"Cousse, J.","Still in love with solar energy? Installation size, affect, and the Social Perception / Narratives of renewable energy technologies",2021,"Renewable and Sustainable Energy Reviews","Social Perception / Narratives",
paper_17,"Scovell, M. et al.","Local acceptance of solar farms: The impact of energy narratives",2024,"Renewable and Sustainable Energy Reviews","Social Perception / Narratives",
